id|isDemo|region|name
01001F7010546000|1|JP|英雄伝説 閃の軌跡Ⅲ
01001FD01029E000|1|US|Hexagroove: Tactical DJ
01001FF014B5E000|1|JP|僕のヒーローアカデミア One 's Justice2
010020100B768000|1|US|True Fear: Forsaken Souls - Part 1
010020400B0A8000|1|JP|Mario Tennis Aces: Online Tournament Demo
0100206010406000|1|US|Bravely Default™ II
010020800D924000|1|JP|エックスモーフ：ディフェンス
0100209012A72000|1|JP|Hell Sports（ヘルスポーツ）
0100211015364000|1|US|SOLAS 128
01002120116C4000|1|XX|Splatoon 2: Special Demo 2020
010021300ABDE000|1|US|Puzzle Puppers
010021400C6C4000|1|US|Jewel Fever 2
010021600E1BC000|1|US|Pocket Stables
0100219016AB4000|1|US|Big Brain Academy™: Brain vs. Brain
010021B002EEA000|1|JP|ぷよぷよ™テトリス®Ｓ スペシャルプライス
010022000BCDA000|1|US|Game Dev Story
010022000ECDA000|1|JP|すみっコぐらし 学校生活はじめるんです
010022C0168A8000|1|JP|殺し屋とストロベリー Plus
01002320137CC000|1|US|Captain Tsubasa: Rise of New Champions
010023300B0F0000|1|US|Tumblestone
010023500C2F0000|1|US|99Vidas - Definitive Edition
0100236015946000|1|JP|CRSED: F.O.A.D.
0100237015438000|1|JP|B-PROJECT 流星＊ファンタジア
010023800D3F2000|1|US|Awesome Pea
010023F013C88000|1|JP|バーチャルバトル
0100240017BF2000|1|GB|Baby Storm
01002410151E4000|1|JP|東京24区 -祈-
010024200E97E000|1|US|Bear With Me: The Lost Robots
010025000B836000|1|JP|机でサッカー
0100257014556000|1|GB|Rev Up! RC Grand Prix
010025B002E92000|1|US|Blaster Master Zero
010025B014E7E000|1|US|Lost Lands: The Wanderer
010025E01076A000|1|US|Strike! Ten Pin Bowling
010026800EA0A000|1|US|DRAGON QUEST® XI S: Echoes of an Elusive Age – Definitive Edition
010026A013782000|1|US|GROOVE COASTER WAI WAI PARTY!!!!
0100270015ADE000|1|GB|Knockout Home Fitness
01002730174BE000|1|GB|Colors Live
0100275011FB8000|1|JP|ワーキング ゾンビーズ
010027900C706000|1|US|Word Puzzles by POWGI
0100283012C92000|1|GB|Diamond Girl ★An Earnest Education in Love★
0100283016A28000|1|US|Figment 2: Creed Valley Demo
0100284012448000|1|JP|MAD RAT DEAD
010028900EFBC000|1|US|Pacific Wings
010029301250E000|1|US|Spiral Memoria -The Summer I Meet Myself-
01002950121EE000|1|US|Wanderlust Travel Stories
0100296014910000|1|US|Glam's Incredible Run: Escape from Dukha
010029B00D240000|1|US|Rain City
010029E00B0D8000|1|US|Shift Happens
010029F014E34000|1|JP|神様のような君へ
01002AB01267C000|1|US|わんニャンどうぶつ病院 ペットを助けるだいじなお仕事
01002AD0159A6000|1|US|Moonlighter
01002AD0167F6000|1|GB|DRAGON BALL Z : KAKAROT + A NEW POWER AWAKENS SET
01002AF0157DC000|1|US|Out of Line
01002B100B122000|1|JP|超回転 寿司ストライカー The Way of Sushido
01002B100F0A0000|1|GB|Pool Slide Story
01002B300EB86000|1|US|Anime Studio Story
01002B3016A34000|1|US|Tomb of the Mask
01002B500EEFA000|1|US|Puzzle Quest: The Legend Returns
01002B500F0FA000|1|JP|ファイナルファンタジー・クリスタルクロニクル リマスター
01002B701239A000|1|JP|ミスタードリラーアンコール
01002B70148E8000|1|JP|-右脳の達人- まちがいさがしミュージアム for Nintendo Switch
01002B8013D38000|1|XX|MONSTER HUNTER RISE
01002BF015F58000|1|JP|ボクらの消しゴム落とし 新学期
01002C100EAAC000|1|ZH|AceAngler 王牌釣手 Nintendo Switch版
01002C30136F4000|1|US|Ring of Pain
01002C400B6B6000|1|JP|進め！キノピオ隊長
01002C4015CCE000|1|JP|ANONYMOUS;CODE
01002C4016456000|1|US|Jigsaw Fun: Greatest Cities
01002C6008C76000|1|JP|王だぁランド！
01002C600ECF0000|1|JP|わいわい！ナイスショットテニス
01002C6010204000|1|US|Wild Park Manager
01002C700C5F6000|1|US|Guns of Mercy - Rangers Edition
01002CC00B5FC000|1|ZH|不如帰 大乱
01002CD00CB94000|1|GB|Desktop Soccer
01002CE00B6A8000|1|JP|キッドトリップ RUN!
01002D000DF5A000|1|US|ONINAKI
01002E100D1E2000|1|US|Mega Mall Story
01002E6015494000|1|US|LOVE - A Puzzle Box Filled with Stories
01002E901042E000|1|US|Coffee Talk
01002EB00CE48000|1|JP|ノラと皇女と野良猫ハート HD
01002EF013B0E000|1|JP|すみっコぐらし おへやのすみでたびきぶんすごろく
01002FA01610A000|1|JP|BLUE REFLECTION TIE/帝
01002FC00B694000|1|US|Fill-a-Pix: Phil's Epic Adventure
0100302010338000|1|US|Blasphemous
010030D005AE6000|1|GB|Pokkén Tournament DX
010031801804A000|1|US|Card Shark
0100319015E72000|1|JP|パズルハムスター ～地球冒険記～
010031C0122B0000|1|US|Active Neurons 2
010031F0126DE000|1|JP|Rogue Heroes: テイソスの遺跡
01003200151B2000|1|US|Lost Lands: Ice Spell
010032F0159A8000|1|US|Children of Morta
010033200C50E000|1|JP|添いカノ ～ぎゅっと抱きしめて～
010033A0118DC000|1|US|Ninjala Exclusive Ninja Club
010033A012B1A000|1|JP|AVICII Invector
010033E0171D6000|1|US|Letters - a written adventure
010033F017A60000|1|GB|Imp of the Sun
010034501756C000|1|JP|モルサッカーオンライン Lite
010034701860A000|1|US|Silt
010034C0113EA000|1|US|Mega Mall Story 2
010034F005AE2000|1|XX|POKKÉN TOURNAMENT DX Demo for KIOSK
0100356015B70000|1|US|Gems of Magic: Father's Day
010036D017B0C000|1|US|Curious Expedition 2
010037301569A000|1|JP|ピクロスS MEGA DRIVE & MARKⅢ edition
010037700C9F2000|1|US|Croc's World
010037B00A9C8000|1|US|UNO®
010038100EA60000|1|US|Lethal League Blaze
010038400CADC000|1|US|Timberman VS
0100386013D3A000|1|XX|MONSTER HUNTER RISE
01003870040FA000|1|US|Splatoon 2 Splatfest World Premiere
0100387011BA2000|1|US|Fly Punch Boom!
010038A00DE9C000|1|US|Voxel Shot for Nintendo Switch
01003900168E4000|1|GB|Repentant
010039300A56C000|1|US|Squareboy vs Bullies: Arena Edition
0100395017A00000|1|US|Darkness and Flame: Enemy in Reflection
01003980131D2000|1|JP|Unrailed!
010039E012F40000|1|US|Yu-Gi-Oh! Master Duel
01003A30141CA000|1|JP|みんなのラジコンGP
01003A701703C000|1|GB|MacGuffin's Curse
01003AB00D74A000|1|US|Double Pug Switch
01003AB017396000|1|GB|DRIVE DRIFT X
01003AE00A872000|1|US|One More Dungeon
01003B101497C000|1|US|Game Builder Garage™
01003B2009D18000|1|US|Violett
01003B4015E1E000|1|US|Spiritfarer
01003B900F8C6000|1|JP|ドラゴンクエストビルダーズ２ 破壊神シドーとからっぽの島
01003BA015A12000|1|US|Bonfire Peaks
01003BC01453C000|1|US|Aerial_Knight's Never Yield
01003BE0182A6000|1|US|The Last Cube
01003C300C66A000|1|JP|チョークダッシュカーニバル
01003C3014B56000|1|JP|モンスターを倒して強い剣や鎧を手にしなさい。死んでも諦めずに強くなりなさい。勇者隊が魔王を倒すその日を信じています。
01003C5016106000|1|GB|PICROSS S7
01003C7017BB4000|1|JP|穢翼のユースティア
01003D000F68C000|1|US|The friends of Ringo Ishikawa
01003DD00DE14000|1|US|Croc's World 2
01003DE00E000000|1|US|GOD EATER 3
01003DE011F28000|1|US|Water Balloon Mania
01003E7015974000|1|US|Greak: Memories of Azur
01003EB012938000|1|US|Galaxy Warfighter
01003ED00FEA2000|1|GB|Desktop Dodgeball
01003F0012E0E000|1|US|Strawberry Vinegar
01003F2014304000|1|JP|戦国無双５
01003F90150FE000|1|JP|MUSICUS!
01003FA010F34000|1|US|CrunchTime
010040000DB98000|1|US|Neo Cab
01004030162DA000|1|US|The Last Friend
010040800FB54000|1|US|Pokémon Mystery Dungeon™: Rescue Team DX
010040B00AE0E000|1|JP|アーバントライアル プレイグラウンド
010041701652A000|1|JP|アイキス3 cute -There are various paths. Just cherish your own feelings as you please.-
010042100E8B0000|1|US|Viviette
010042501329E000|1|US|Monster Hunter Stories 2: Wings of Ruin
010042600C418000|1|JP|レイジングループ
010042600EDB6000|1|US|Songbird Symphony
